α,p,l
0.047,0.79,1.167867284998582
0.047,0.8,1.164315752283174
0.047,0.81,1.1607530329125995
0.047,0.82,1.157210331116088
0.047,0.83,1.1537161221308299
0.047,0.84,1.1502958655872808
0.047,0.85,1.1469718238249946
0.047,0.86,1.143762976194882
0.047,0.87,1.1406850187462063
0.047,0.88,1.1377504376511518
0.047,0.89,1.134968644228285
0.047,0.9,1.1323461594171065
0.047,0.91,1.1298868359500926
0.047,0.92,1.1275921071843011
0.047,0.93,1.1254612525115273
0.047,0.94,1.1234916703884792
0.047,0.95,1.121679151248096
0.047,0.96,1.1200181438101402
0.047,0.97,1.1185020095534357
0.047,0.98,1.1171232613031705
0.047,0.99,1.11587378299382
0.047,1.0,1.1147450286696452
0.048,0.68,1.183362734407385
0.048,0.69,1.1815978673298426
0.048,0.7,1.1794941697584131
0.048,0.71,1.1770755683419813
0.048,0.72,1.1743714048570526
0.048,0.73,1.1714152604713945
0.048,0.74,1.1682437806961883
0.048,0.75,1.1648955369417426
0.048,0.76,1.1614099552706283
0.048,0.77,1.1578263370406852
0.048,0.78,1.1541829899971265
0.048,0.79,1.150516482314756
0.048,0.8,1.146861026363968
0.048,0.81,1.1432479937771967
0.048,0.82,1.1397055588682887
0.048,0.83,1.1362584636936113
0.048,0.84,1.1329278950787316
0.048,0.85,1.1297314617635077
0.048,0.86,1.126683258401844
0.048,0.87,1.123794002423859
0.048,0.88,1.121071229642871
0.048,0.89,1.118519534871314
0.048,0.9,1.116140844597857
0.048,0.91,1.1139347098728598
0.048,0.92,1.1118986088565892
0.048,0.93,1.1100282499186145
0.048,0.94,1.1083178676624859
0.048,0.95,1.1067605057242718
0.048,0.96,1.1053482816061444
0.048,0.97,1.1040726301184578
0.048,0.98,1.102924523188504
0.048,0.99,1.1018946648343553
0.048,1.0,1.1009736609897405
0.049,0.66,1.174229218557612
0.049,0.67,1.1726351984438497
0.049,0.68,1.1706752013771933
0.049,0.69,1.1683707204009472
0.049,0.7,1.165749870119267
0.049,0.71,1.1628461010035545
0.049,0.72,1.1596968896000819
0.049,0.73,1.1563424490279852
0.049,0.74,1.1528244984459015
0.049,0.75,1.1491851235180945
0.049,0.76,1.14546575277446
0.049,0.77,1.141706267537588
0.049,0.78,1.1379442561295514
0.049,0.79,1.1342144166486199
0.049,0.8,1.1305481069273076
0.049,0.81,1.126973035483464
0.049,0.82,1.1235130834257367
0.049,0.83,1.120188244386812
0.049,0.84,1.1170146675978938
0.049,0.85,1.114004788114543
0.049,0.86,1.1111675278591
0.049,0.87,1.1085085514436888
0.049,0.88,1.1060305615574866
0.049,0.89,1.1037336199192653
0.049,0.9,1.1016154812934356
0.049,0.91,1.0996719297371707
0.049,0.92,1.0978971079929865
0.049,0.93,1.0962838326854154
0.049,0.94,1.0948238896578388
0.049,0.95,1.0935083053468941
0.049,0.96,1.0923275915023472
0.049,0.97,1.091271961798061
0.049,0.98,1.0903315199339219
0.049,0.99,1.0894964196979844
0.049,1.0,1.0887569981486882
0.05,0.63,1.166955058635584
0.05,0.64,1.1659912679443043
0.05,0.65,1.1646261462659186
0.05,0.66,1.1628678577850453
0.05,0.67,1.1607338905168505
0.05,0.68,1.158249796612561
0.05,0.69,1.1554478133455974
0.05,0.7,1.1523654228754987
0.05,0.71,1.1490439051651096
0.05,0.72,1.1455269326723592
