α,p,l
0.26,0.72,4.7415981056
0.26,0.73,4.7413817466
0.26,0.74,4.7411881376
0.26,0.75,4.741015625
0.26,0.76,4.7408626175999995
0.26,0.77,4.7407275866
0.26,0.78,4.7406090656
0.26,0.79,4.7405056506
0.26,0.8,4.740416
0.26,0.81,4.7403388346
0.26,0.82,4.7402729376
0.26,0.83,4.7402171546
0.26,0.84,4.7401703936
0.26,0.85,4.740131625
0.26,0.86,4.7400998816
0.26,0.87,4.7400742586
0.26,0.88,4.7400539136
0.26,0.89,4.7400380666
0.26,0.9,4.740026
0.26,0.91,4.7400170585999994
0.26,0.92,4.7400106496
0.26,0.93,4.7400062426
0.26,0.94,4.7400033696
0.26,0.95,4.740001625
0.26,0.96,4.7400006656
0.26,0.97,4.7400002106
0.26,0.98,4.7400000416
0.26,0.99,4.7400000026
0.26,1.0,4.74
0.27,0.05,4.9499166875
0.27,0.06,4.9408022192
0.27,0.07,4.9319740427
0.27,0.08,4.9234260992
0.27,0.09,4.9151523947
0.27,0.1,4.907147
0.27,0.11,4.899404050699999
0.27,0.12,4.8919177472
0.27,0.13,4.8846823547
0.27,0.14,4.8776922032000005
0.27,0.15,4.8709416875
0.27,0.16,4.8644252672
0.27,0.17,4.8581374667
0.27,0.18,4.8520728752
0.27,0.19,4.8462261467
0.27,0.2,4.840592
0.27,0.21,4.8351652187
0.27,0.22,4.8299406512
0.27,0.23,4.8249132107
0.27,0.24,4.8200778752
0.27,0.25,4.8154296875
0.27,0.26,4.8109637551999995
0.27,0.27,4.8066752507
0.27,0.28,4.8025594112
0.27,0.29,4.7986115386999995
0.27,0.3,4.794827
0.27,0.31,4.7912012267
0.27,0.32,4.7877297152
0.27,0.33,4.7844080266999995
0.27,0.34,4.781231787199999
0.27,0.35,4.7781966874999995
0.27,0.36,4.7752984832
0.27,0.37,4.7725329947
0.27,0.38,4.7698961072
0.27,0.39,4.7673837707
0.27,0.4,4.7649919999999995
0.27,0.41,4.7627168747
0.27,0.42,4.7605545392
0.27,0.43,4.7585012027
0.27,0.44,4.7565531392
0.27,0.45,4.7547066875
0.27,0.46,4.7529582512
0.27,0.47,4.7513042987
0.27,0.48,4.7497413632
0.27,0.49,4.7482660427
0.27,0.5,4.746875
0.27,0.51,4.7455649627
0.27,0.52,4.744332723199999
0.27,0.53,4.7431751387
0.27,0.54,4.7420891312
0.27,0.55,4.7410716875
0.27,0.56,4.7401198592
0.27,0.57,4.7392307627
0.27,0.58,4.7384015792
0.27,0.59,4.7376295547
0.27,0.6,4.736912
0.27,0.61,4.7362462907000005
0.27,0.62,4.7356298672
0.27,0.63,4.7350602347
0.27,0.64,4.7345349632
0.27,0.65,4.7340516875
0.27,0.66,4.7336081072
0.27,0.67,4.7332019867
0.27,0.68,4.7328311551999995
0.27,0.69,4.7324935067
0.27,0.7,4.732187
0.27,0.71,4.7319096587
0.27,0.72,4.7316595712
0.27,0.73,4.7314348907
0.27,0.74,4.731233835199999
0.27,0.75,4.7310546875
0.27,0.76,4.7308957952
0.27,0.77,4.7307555706999995
0.27,0.78,4.7306324912
0.27,0.79,4.7305250987
0.27,0.8,4.730432
0.27,0.81,4.7303518666999995
0.27,0.82,4.7302834352000005
0.27,0.83,4.7302255067
0.27,0.84,4.7301769472
0.27,0.85,4.7301366875
0.27,0.86,4.7301037232
0.27,0.87,4.7300771147
0.27,0.88,4.7300559872
0.27,0.89,4.7300395307
0.27,0.9,4.730027
0.27,0.91,4.7300177147
0.27,0.92,4.7300110592
0.27,0.93,4.7300064827
0.27,0.94,4.7300034992
0.27,0.95,4.7300016875
0.27,0.96,4.7300006912
0.27,0.97,4.7300002187
0.27,0.98,4.7300000432000004
0.27,0.99,4.7300000027
0.27,1.0,4.73
0.28,0.05,4.94806175
0.28,0.06,4.9386097088
0.28,0.07,4.9294545628
0.28,0.08,4.9205900287999995
0.28,0.09,4.9120098908
0.28,0.1,4.903708
0.28,0.11,4.8956782748
0.28,0.12,4.8879147008
0.28,0.13,4.8804113307999994
0.28,0.14,4.8731622848
0.28,0.15,4.86616175
0.28,0.16,4.8594039808
0.28,0.17,4.8528832988
0.28,0.18,4.8465940928
0.28,0.19,4.8405308188
0.28,0.2,4.834688
0.28,0.21,4.8290602268
0.28,0.22,4.8236421568
0.28,0.23,4.8184285148
0.28,0.24,4.8134140928
0.28,0.25,4.80859375
0.28,0.26,4.8039624128
0.28,0.27,4.7995150748
0.28,0.28,4.7952467968
0.28,0.29,4.7911527068
0.28,0.3,4.787228
0.28,0.31,4.783467938799999
0.28,0.32,4.7798678528
0.28,0.33,4.7764231388
0.28,0.34,4.7731292608
0.28,0.35,4.7699817499999995
0.28,0.36,4.7669762048
0.28,0.37,4.764108290799999
0.28,0.38,4.7613737408
0.28,0.39,4.7587683548
0.28,0.4,4.756288
0.28,0.41,4.7539286108
0.28,0.42,4.7516861888
0.28,0.43,4.7495568028
0.28,0.44,4.7475365888
0.28,0.45,4.74562175
0.28,0.46,4.7438085567999995
0.28,0.47,4.7420933468
0.28,0.48,4.7404725247999995
0.28,0.49,4.7389425628
0.28,0.5,4.7375
0.28,0.51,4.7361414428
0.28,0.52,4.7348635647999995
0.28,0.53,4.7336631068
0.28,0.54,4.7325368768
0.28,0.55,4.73148175
0.28,0.56,4.7304946688000005
0.28,0.57,4.7295726428
0.28,0.58,4.7287127488
0.28,0.59,4.7279121308
0.28,0.6,4.727168
0.28,0.61,4.7264776348
0.28,0.62,4.7258383808
0.28,0.63,4.7252476508
0.28,0.64,4.7247029248
0.28,0.65,4.72420175
0.28,0.66,4.7237417407999995
0.28,0.67,4.7233205788
0.28,0.68,4.7229360128
0.28,0.69,4.7225858588000005
0.28,0.7,4.722268
0.28,0.71,4.7219803868
0.28,0.72,4.7217210368
0.28,0.73,4.7214880348
0.28,0.74,4.7212795328
0.28,0.75,4.72109375
0.28,0.76,4.7209289727999995
0.28,0.77,4.720783554800001
0.28,0.78,4.7206559168
0.28,0.79,4.7205445468
0.28,0.8,4.720448
0.28,0.81,4.7203648988
0.28,0.82,4.7202939328
0.28,0.83,4.7202338588
0.28,0.84,4.7201835008
0.28,0.85,4.72014175
0.28,0.86,4.7201075648
0.28,0.87,4.7200799708000005
0.28,0.88,4.7200580608
0.28,0.89,4.7200409948
0.28,0.9,4.720028
0.28,0.91,4.7200183708
0.28,0.92,4.7200114688
0.28,0.93,4.7200067228
0.28,0.94,4.7200036288
0.28,0.95,4.72000175
0.28,0.96,4.7200007167999996
0.28,0.97,4.7200002268
0.28,0.98,4.7200000448
0.28,0.99,4.7200000028
0.28,1.0,4.72
0.29,0.05,4.9462068125
0.29,0.06,4.9364171984
0.29,0.07,4.9269350829
0.29,0.08,4.9177539584000005
0.29,0.09,4.9088673869
0.29,0.1,4.900269
0.29,0.11,4.8919524989
0.29,0.12,4.8839116544
0.29,0.13,4.8761403069
0.29,0.14,4.8686323664
0.29,0.15,4.8613818124999995
0.29,0.16,4.8543826944
0.29,0.17,4.8476291309
0.29,0.18,4.8411153104
0.29,0.19,4.8348354909
0.29,0.2,4.828784
0.29,0.21,4.8229552349
0.29,0.22,4.8173436624
0.29,0.23,4.8119438189
0.29,0.24,4.8067503104
0.29,0.25,4.8017578125
0.29,0.26,4.7969610704
0.29,0.27,4.7923548989
0.29,0.28,4.7879341824
0.29,0.29,4.7836938749
0.29,0.3,4.779629
0.29,0.31,4.7757346509000005
0.29,0.32,4.7720059904
0.29,0.33,4.7684382509
0.29,0.34,4.7650267344
0.29,0.35,4.7617668124999994
0.29,0.36,4.7586539264
0.29,0.37,4.7556835869
0.29,0.38,4.7528513744000005
0.29,0.39,4.7501529388999995
0.29,0.4,4.747584
0.29,0.41,4.7451403468999995
0.29,0.42,4.742817838400001
0.29,0.43,4.7406124029
0.29,0.44,4.7385200384
0.29,0.45,4.7365368125
0.29,0.46,4.7346588624
0.29,0.47,4.7328823949
0.29,0.48,4.7312036864
0.29,0.49,4.7296190829
0.29,0.5,4.728125
0.29,0.51,4.7267179229
0.29,0.52,4.7253944063999995
0.29,0.53,4.7241510749
0.29,0.54,4.7229846224
0.29,0.55,4.7218918125
0.29,0.56,4.7208694784
0.29,0.57,4.7199145229
0.29,0.58,4.7190239184
0.29,0.59,4.7181947069
0.29,0.6,4.717424
0.29,0.61,4.7167089789
0.29,0.62,4.7160468944
0.29,0.63,4.7154350669
0.29,0.64,4.7148708864
0.29,0.65,4.7143518125
0.29,0.66,4.713875374400001
0.29,0.67,4.7134391709
0.29,0.68,4.7130408704
0.29,0.69,4.7126782109
0.29,0.7,4.712349
0.29,0.71,4.7120511148999995
0.29,0.72,4.7117825024
0.29,0.73,4.7115411789
0.29,0.74,4.7113252304
0.29,0.75,4.7111328125
0.29,0.76,4.7109621504
0.29,0.77,4.7108115389
0.29,0.78,4.7106793424
0.29,0.79,4.7105639949
0.29,0.8,4.710464
0.29,0.81,4.7103779309
0.29,0.82,4.7103044304
0.29,0.83,4.7102422109
0.29,0.84,4.7101900544
