|   iter    |  target   |   alpha   |     k     |     l     |
|  23       | -347.5    |  0.1557   |  2.611    |  5.967    |
|  24       | -554.6    |  0.1358   |  2.655    |  5.974    |
|  25       | -1.384e+0 |  0.07841  |  3.18     |  3.514    |
|  26       | -353.4    |  0.1531   |  2.65     |  5.982    |
|  27       | -2.617e+0 |  0.04601  |  1.194    |  10.15    |
|  28       | -404.5    |  0.1377   |  3.17     |  3.532    |
|  29       | -484.2    |  0.1795   |  2.648    |  5.928    |
|  30       | -485.9    |  0.1678   |  2.256    |  4.849    |
|  31       | -406.3    |  0.1354   |  3.199    |  3.518    |
|  32       | -336.6    |  0.1591   |  2.633    |  5.968    |
|  33       | -416.7    |  0.1766   |  2.685    |  5.974    |
|  34       | -621.7    |  0.1863   |  2.686    |  5.96     |
|  35       | -340.7    |  0.1631   |  2.657    |  5.973    |
|  36       | -338.0    |  0.1584   |  2.649    |  5.975    |
|  37       | -2.968e+0 |  0.02064  |  1.171    |  5.805    |
|  38       | -1.163e+0 |  0.08738  |  1.58     |  1.985    |
|  39       | -569.7    |  0.1836   |  2.643    |  5.964    |
|  40       | -354.6    |  0.1529   |  2.658    |  5.998    |
|  41       | -368.5    |  0.1499   |  2.606    |  5.911    |
|  42       | -338.0    |  0.1574   |  2.622    |  5.951    |
|  43       | -338.3    |  0.1569   |  2.621    |  5.962    |
|  44       | -744.9    |  0.192    |  2.636    |  5.94     |
|  45       | -2.011e+0 |  0.05095  |  3.536    |  2.699    |
|  46       | -1.142e+0 |  0.1509   |  1.709    |  12.38    |
|  47       | -634.2    |  0.1308   |  2.613    |  5.9      |
|  48       | -1.102e+0 |  0.1622   |  3.242    |  12.56    |
|  49       | -353.9    |  0.1529   |  2.613    |  5.922    |
|  50       | -808.7    |  0.1953   |  2.681    |  5.99     |
|  51       | -411.5    |  0.1418   |  3.2      |  3.549    |
|  52       | -343.3    |  0.1557   |  2.666    |  5.963    |
|  53       | -566.8    |  0.1355   |  2.679    |  5.966    |
|  54       | -371.5    |  0.1535   |  2.255    |  4.817    |
|  55       | -385.3    |  0.1565   |  2.255    |  4.824    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -2.201e+0 |  0.0834   |  3.161    |  1.001    |
|  2        | -1.168e+0 |  0.06047  |  1.44     |  2.2      |
|  3        | -207.2    |  0.03725  |  2.037    |  6.158    |
|  4        | -1.631e+0 |  0.1078   |  2.258    |  9.908    |
|  5        | -606.2    |  0.04089  |  3.634    |  1.356    |
|  6        | -791.4    |  0.07517  |  3.37     |  11.07    |
|  7        | -2.609e+0 |  0.1065   |  3.362    |  3.274    |
