α,p,l
0.051,0.69,1.863235898497008
0.051,0.7,1.859203937985809
0.051,0.71,1.8552330005270048
0.051,0.72,1.8513215511649914
0.051,0.73,1.8474681615727686
0.051,0.74,1.8436715018912635
0.051,0.75,1.8399303330251682
0.051,0.76,1.8362434993665668
0.051,0.77,1.8326099219198215
0.051,0.78,1.8290285918032534
0.051,0.79,1.8254985641050854
0.051,0.8,1.8220189520729475
0.051,0.81,1.8185889216179265
0.051,0.82,1.8152076861157491
0.051,0.83,1.8118745014891477
0.051,0.84,1.8085886615568427
0.051,0.85,1.805349493635844
0.051,0.86,1.802156354384956
0.051,0.87,1.7990086258784452
0.051,0.88,1.7959057118998576
0.051,0.89,1.7928470344468674
0.051,0.9,1.7898320304389228
0.051,0.91,1.7868601486202182
0.051,0.92,1.7839308466512729
0.051,0.93,1.7810435883830698
0.051,0.94,1.7781978413083501
0.051,0.95,1.775393074185279
0.051,0.96,1.772628754829266
0.051,0.97,1.7699043480693217
0.051,0.98,1.7672193138658807
0.051,0.99,1.7645731055876106
0.051,1.0,1.7619651684453124
0.052,0.35,2.0502792085515074
0.052,0.36,2.041509538376987
0.052,0.37,2.0330300698158625
0.052,0.38,2.024823592980836
0.052,0.39,2.016874063191029
0.052,0.4,2.0091665199101847
0.052,0.41,2.001687012468386
0.052,0.42,1.9944225317127207
0.052,0.43,1.9873609468927493
0.052,0.44,1.9804909472109486
0.052,0.45,1.9738019875650619
0.052,0.46,1.9672842380848443
0.052,0.47,1.9609285371250527
0.052,0.48,1.9547263474234717
0.052,0.49,1.9486697151701673
0.052,0.5,1.9427512317642648
0.052,0.51,1.936963998059014
0.052,0.52,1.9313015909160651
0.052,0.53,1.9257580319066605
0.052,0.54,1.9203277580116418
0.052,0.55,1.9150055941843525
0.052,0.56,1.9097867276510598
0.052,0.57,1.9046666838328383
0.052,0.58,1.89964130378113
0.052,0.59,1.894706723026661
0.052,0.6,1.8898593517481794
0.052,0.61,1.8850958561737006
0.052,0.62,1.8804131411326839
0.052,0.63,1.875808333682915
0.052,0.64,1.8712787677408236
0.052,0.65,1.866821969648655
0.052,0.66,1.8624356446162753
0.052,0.67,1.8581176639795234
0.052,0.68,1.8538660532209148
0.052,0.69,1.8496789807021674
0.052,0.7,1.8455547470615015
0.052,0.71,1.8414917752319333
0.052,0.72,1.8374886010398916
0.052,0.73,1.83354386434641
0.052,0.74,1.8296563006959152
0.052,0.75,1.8258247334402378
0.052,0.76,1.8220480663079344
0.052,0.77,1.8183252763913171
0.052,0.78,1.8146554075257633
0.052,0.79,1.8110375640379242
0.052,0.8,1.80747090484134
0.052,0.81,1.803954637859777
0.052,0.82,1.8004880147602444
0.052,0.83,1.797070325979209
0.052,0.84,1.7937008960269512
0.052,0.85,1.7903790790563463
0.052,0.86,1.7871042546835756
0.052,0.87,1.783875824049411
0.052,0.88,1.780693206110765
0.052,0.89,1.7775558341531605
0.052,0.9,1.7744631525156676
0.052,0.91,1.7714146135206696
0.052,0.92,1.768409674601598
0.052,0.93,1.7654477956224681
0.052,0.94,1.7625284363837312
0.052,0.95,1.7596510543095778
0.052,0.96,1.7568151023124514
0.052,0.97,1.7540200268311015
0.052,0.98,1.751265266039119
0.052,0.99,1.7485502482214645
0.052,1.0,1.7458743903171139
0.053,0.34,2.048896323246561
0.053,0.35,2.0397536735178408
0.053,0.36,2.030919831917395
0.053,0.37,2.022376056449489
0.053,0.38,2.0141048956135847
0.053,0.39,2.0060900971082942
0.053,0.4,1.9983165243760102
0.053,0.41,1.990770079959697
0.053,0.42,1.9834376348437703
0.053,0.43,1.9763069631052284
0.053,0.44,1.969366681320221
0.053,0.45,1.962606192263473
0.053,0.46,1.9560156325097713
0.053,0.47,1.9495858236030195
0.053,0.48,1.9433082265027979
0.053,0.49,1.937174899053831
0.053,0.5,1.9311784562523304
0.053,0.51,1.9253120331065345
0.053,0.52,1.9195692499080779
0.053,0.53,1.9139441797470487
0.053,0.54,1.9084313181174464
0.053,0.55,1.9030255544717116
0.053,0.56,1.8977221455935187
0.053,0.57,1.8925166906673758
0.053,0.58,1.8874051079319751
0.053,0.59,1.8823836128119038
0.053,0.6,1.877448697429311
0.053,0.61,1.872597111403629
0.053,0.62,1.8678258438534519
0.053,0.63,1.863132106520283
0.053,0.64,1.8585133179391458
0.053,0.65,1.853967088585972
0.053,0.66,1.8494912069363532
0.053,0.67,1.8450836263746169
