α,p,l
0.22,0.69,359.95944455435836
0.22,0.7,359.95934895681614
0.22,0.71,359.95926533568456
0.22,0.72,359.95919252122746
0.22,0.73,359.9591294245589
0.22,0.74,359.9590750342113
0.22,0.75,359.9590284128329
0.22,0.76,359.9589886939949
0.22,0.77,359.9589550790932
0.22,0.78,359.95892683432896
0.22,0.79,359.95890328775863
0.22,0.8,359.9588838264002
0.22,0.81,359.95886789338897
0.22,0.82,359.95885498517356
0.22,0.83,359.95884464874655
0.22,0.84,359.958836478903
0.22,0.85,359.95883011552155
0.22,0.86,359.9588252408659
0.22,0.87,359.95882157689937
0.22,0.88,359.95881888261295
0.22,0.89,359.9588169513617
0.22,0.9,359.9588156082086
0.22,0.91,359.95881470727386
0.22,0.92,359.95881412908705
0.22,0.93,359.9588137779434
0.22,0.94,359.958813579261
0.22,0.95,359.9588134769389
0.22,0.96,359.9588134307169
0.22,0.97,359.9588134135348
0.22,0.98,359.95881340889287
0.22,0.99,359.95881340821086
0.22,1.0,359.9588134081888
0.23,0.02,361.8580128149297
0.23,0.03,360.8979687699077
0.23,0.04,360.3593774425733
0.23,0.05,360.0056632886442
0.23,0.06,359.75603029493175
0.23,0.07,359.57215753617345
0.23,0.08,359.43267545540596
0.23,0.09,359.3245024968629
0.23,0.1,359.23912876578686
0.23,0.11,359.1707725958541
0.23,0.12,359.1153730307352
0.23,0.13,359.07000051830363
0.23,0.14,359.03249455175427
0.23,0.15,359.00123199778307
0.23,0.16,358.97497415969036
0.23,0.17,358.952763020323
0.23,0.18,358.9338491462718
0.23,0.19,358.9176405166328
0.23,0.2,358.9036655073272
0.23,0.21,358.89154565635
0.23,0.22,358.8809753190369
0.23,0.23,358.87170626359534
0.23,0.24,358.8635358668498
0.23,0.25,358.85629797286447
0.23,0.26,358.8498557479342
0.23,0.27,358.8440960506717
0.23,0.28,358.83892496465114
0.23,0.29,358.83426423190707
0.23,0.3,358.83004839060305
0.23,0.31,358.82622246737475
